,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_latent_dim,params_layer_sizes,params_lr,state
35,35,0.28712020860268517,2025-01-27 02:08:36.016794,2025-01-27 02:11:45.458787,0 days 00:03:09.441993,64,16,"[128, 64, 32]",0.003341750108596794,COMPLETE
36,36,0.4733532176567958,2025-01-27 02:11:45.508059,2025-01-27 02:18:23.484141,0 days 00:06:37.976082,64,16,"[32, 16, 10]",0.0011672836687568933,COMPLETE
37,37,0.20831664640169878,2025-01-27 02:18:23.534033,2025-01-27 02:24:06.480333,0 days 00:05:42.946300,64,16,"[128, 64, 32]",0.0009206727724534563,COMPLETE
38,38,0.3692549210328322,2025-01-27 02:24:06.525165,2025-01-27 02:28:14.748534,0 days 00:04:08.223369,64,8,"[128, 64, 32]",0.000950343632820852,COMPLETE
39,39,0.3109419652909944,2025-01-27 02:28:14.794508,2025-01-27 02:33:58.293217,0 days 00:05:43.498709,256,16,"[128, 64, 32]",0.0006637450448418097,COMPLETE
40,40,0.2519651208932583,2025-01-27 02:33:58.337564,2025-01-27 02:37:04.212849,0 days 00:03:05.875285,64,16,"[128, 64, 32]",0.0017321496381454728,COMPLETE
41,41,0.26592931827673544,2025-01-27 02:37:04.265374,2025-01-27 02:40:31.771019,0 days 00:03:27.505645,64,16,"[128, 64, 32]",0.0009415825014306206,COMPLETE
42,42,0.3552176567224356,2025-01-27 02:40:31.818186,2025-01-27 02:47:52.369291,0 days 00:07:20.551105,64,16,"[128, 64, 32]",0.00040918538786826307,COMPLETE
43,43,0.2516817465424538,2025-01-27 02:47:52.419938,2025-01-27 02:51:29.373156,0 days 00:03:36.953218,64,16,"[128, 64, 32]",0.0006210556726187566,COMPLETE
44,44,0.3598146119943032,2025-01-27 02:51:29.422742,2025-01-27 02:57:43.214118,0 days 00:06:13.791376,64,8,"[128, 64, 32]",0.00037267815295275917,COMPLETE
45,45,0.5756164582876059,2025-01-27 02:57:43.263544,2025-01-27 03:01:40.870646,0 days 00:03:57.607102,64,16,"[32, 16, 10]",0.0036230132821446067,COMPLETE
46,46,0.2520624198592626,2025-01-27 03:01:40.917983,2025-01-27 03:07:06.181080,0 days 00:05:25.263097,64,16,"[128, 64, 32]",0.0011661363960652025,COMPLETE
47,47,0.27946672385389154,2025-01-27 03:07:06.228863,2025-01-27 03:13:24.968770,0 days 00:06:18.739907,256,16,"[128, 64, 32]",0.0005829859914835827,COMPLETE
48,48,0.3812833125774677,2025-01-27 03:13:25.019189,2025-01-27 03:19:35.052379,0 days 00:06:10.033190,64,8,"[128, 64, 32]",0.0008266206539403884,COMPLETE
49,49,0.3279848052905156,2025-01-27 03:19:35.096618,2025-01-27 03:23:54.644078,0 days 00:04:19.547460,64,16,"[128, 64, 32]",0.0019842945624962602,COMPLETE
